Number,Continent,Country,Province,City,Description,Highlights
1,North America,Canada,Alberta,Edmonton,"Edmonton is the capital city of the Canadian province of Alberta. Edmonton is on the North Saskatchewan River and is the centre of the Edmonton Metropolitan Region, which is surrounded by Alberta's central region. The city anchors the north end of what Statistics Canada defines as the ""Calgary–Edmonton Corridor""","Home of the Edmonton Oilers - maybe the greatest hockey team in recent history. 
Folk Music Festival - An annual summer music festival after the August long-weekend with musical acts ranging from locals to international artists or groups.
Fringe Festival - the largest Fringe festival outside of Scotland, where it originated"
2,North America,Canada,Alberta,Calgary,"Calgary, a cosmopolitan Alberta city with numerous skyscrapers, owes its rapid growth to its status as the centre of Canada’s oil industry. However, it’s still steeped in the western culture that earned it the nickname “Cowtown,” evident in the Calgary Stampede, its massive July rodeo and festival that grew out of the farming exhibitions once presented here.","Home of the Calgary Flames - arguably the worst hockey team in all of the NH's history. 
Calgary Stampede - an annual showcase of the ""cowboy culture"" and cruelty to animals…
Folk Music Festival - jealous of Edmonton's success, they copied it so as to not look more inferior"
3,North America,Canada,Alberta,Jasper,"Jasper, an alpine town in Canada’s Alberta province, is the commercial centre of Jasper National Park. Amid the snow-capped Canadian Rockies, the park has glacier-fed lakes, forests and rivers. The Jasper SkyTram climbs to the summit of Whistlers Mountain, with views of downtown. The Jasper Yellowhead Museum and Archives presents exhibits on the fur trade, railway and early exploration of the park.","Camping and hiking in the Rocky Mountains. 
For golf afficionados - the Jasper Park Lodge has a highly-rated golf course"
4,North America,Canada,Alberta,Banff,"Banff is a resort town in the province of Alberta, located within Banff National Park. The peaks of Mt. Rundle and Mt. Cascade, part of the Rocky Mountains, dominate its skyline. On Banff Avenue, the main thoroughfare, boutiques and restaurants mix with château-style hotels and souvenir shops. The surrounding 6,500 square kilometres of parkland are home to wildlife including elk and grizzly bears.",Camping and hiking in the Rocky Mountains. 
5,North America,Canada,Saskatchewan,Moose Jaw,"Moose Jaw is a city in southern Saskatchewan, Canada. Actors tell the story of the city’s early Chinese immigrants and rumoured Al Capone connection at the underground Tunnels of Moose Jaw. A huge sculpture, Mac the Moose, stands by the Trans-Canada Highway. Colourful murals showing scenes from the city’s history adorn buildings downtown. South, the Sukanen Ship Pioneer Village & Museum contains a prairie-built ship.","The Tunnels of Moose Jaw was very interesting - if the Al Capone rumours were true and very educational. When I visited, one of the interpretive guides was an acquaintance from years before."
6,North America,Canada,Manitoba,Winnipeg,"Winnipeg is the capital of the Canadian province of Manitoba. Its heart is The Forks, a historic site at the intersection of the Red and Assiniboine rivers, with warehouses converted to shops and restaurants, plus ample green space dedicated to festivals, concerts and exhibits. Nearby, the Exchange District is known for its well-preserved, early 20th-century architecture and numerous art galleries.",Attended the Voyageur Festival - a celebration of the Metis Culture in the middle of winter - the best time to make maple syrup popsicles - held at The Forks
7,North America,Canada,Ontario,Toronto,"Toronto, the capital of the province of Ontario, is a major Canadian city along Lake Ontario’s northwestern shore. It's a dynamic metropolis with a core of soaring skyscrapers, all dwarfed by the iconic, free-standing CN Tower. Toronto also has many green spaces, from the orderly oval of Queen’s Park to 400-acre High Park and its trails, sports facilities and zoo.","Rumoured to be the centre of the universe…I don't think this was scientifically proven.
The Hockey Hall of Fame is a great place to visit for any hockey fan - they have memorabilias and interactive activities.
Home of the Toronto Maple Leafs - the second worst hockey team in the NHL after the Calgary Flames."
8,North America,Canada,Ontario,Collingwood,"Collingwood is a town in Ontario, Canada, north of Toronto. Its harbour is in Nottawasaga Bay, the southern part of vast Georgian Bay. The city is a gateway to the Blue Mountain ski resort, with its downhill and cross-country trails. The town center is marked by the beaux arts–style Collingwood Federal Building. Nearby, the Collingwood Museum has exhibits on Collingwood Harbour's shipbuilding history.","Bypass the town and head to the Blue Mountain Resort. ""Mountain"" is a very generous description for the ski hills that people can scale in about 20-30 minutes by foot in the summer"
9,North America,Canada,Quebec,Montreal,"Montréal is the largest city in Canada's Québec province. It’s set on an island in the Saint Lawrence River and named after Mt. Royal, the triple-peaked hill at its heart. Its boroughs, many of which were once independent cities, include neighbourhoods ranging from cobblestoned, French colonial Vieux-Montréal – with the Gothic Revival Notre-Dame Basilica at its centre – to bohemian Plateau.","This city is amazing!!! The nightlife is second-to-none and the food options are endless. 
Planning on attending the Osheaga Music Festival one of these days. 
Home of the Montreal Canadiens - the winnigest team in NHL history. 
A tour of Old (Vieux) Montreal is absolutely recommended.
The F1 Race Track is also an absolute MUST for a visit for any F1 fans."
10,North America,Canada,Quebec,Quebec City,"Québec City sits on the Saint Lawrence River in Canada's mostly French-speaking Québec province. Dating to 1608, it has a fortified colonial core, Vieux-Québec and Place Royale, with stone buildings and narrow streets. This area is the site of the towering Château Frontenac Hotel and imposing Citadelle of Québec. The Petit Champlain district’s cobblestone streets are lined with bistros and boutiques.","The city is very charming!!! Maybe a future home of an NHL team - they've been trying to lure one back since losing the Nordiques to Colorado…
A tour of the Citadel is recommended and get a history lesson about Quebec and Canada. 
The Plains of Abraham is also a must for history buffs.
FUN FACT: The Iron Ring that engineers receive upon graduation is a tradition that started with the collapse of the Quebec Bridge."
